				premiumName		coupled_premium	###		Name of row where initPrem has to be written in MIP-Matrix										
																			
!	id	type	group	name	stdName	price	varCost	labour	priceFlex	changeRate	producedByFarmType	LUperPlace	premium	initPrem	priceSupp	refPrem	Xyears	yield	grossMargin
#	4	4	-1	AGRI_SERVICES	SERVICES	0	307	0	0	1.002	NON	0	FALSE	-	FALSE	-	-	1	-307
	4	4	-1	AGRI_SERVICES	SERVICES	0	1	0	0	1.002	NON	0	FALSE	-	FALSE	-	-	1	-307
	5	4	0	WinterWheat_Default	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	8	
		4	0	WinterWheat_Default_f90p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.916118545	
		4	0	WinterWheat_Default_f80p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.681875405	
		4	0	WinterWheat_Default_f70p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.387334761	
		4	0	WinterWheat_Default_f60p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.032496613	
		4	0	WinterWheat_RedZone	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	8	
		4	0	WinterWheat_RedZone_f90p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.916118545	
		4	0	WinterWheat_RedZone_f80p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.681875405	
		4	0	WinterWheat_RedZone_f70p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.387334761	
		4	0	WinterWheat_RedZone_f60p	-	159	0	10.4352045	0	1	ARABLE	0	TRUE	300	TRUE	300	1	7.032496613	
	6	4	0	WinterRye_Default	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	6	
		4	0	WinterRye_Default_f90p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.831349893	
		4	0	WinterRye_Default_f80p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.684232422	
		4	0	WinterRye_Default_f70p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.488429595	
		4	0	WinterRye_Default_f60p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.243941412	
		4	0	WinterRye_RedZone	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	6	
		4	0	WinterRye_RedZone_f90p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.831349893	
		4	0	WinterRye_RedZone_f80p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.684232422	
		4	0	WinterRye_RedZone_f70p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.488429595	
		4	0	WinterRye_RedZone_f60p	-	151	0	10.26199382	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.243941412	
	7	4	0	SummerCere_Default	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	6	
		4	0	SummerCere_Default_f90p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.831349893	
		4	0	SummerCere_Default_f80p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.684232422	
		4	0	SummerCere_Default_f70p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.488429595	
		4	0	SummerCere_Default_f60p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.243941412	
		4	0	SummerCere_RedZone	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	6	
		4	0	SummerCere_RedZone_f90p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.831349893	
		4	0	SummerCere_RedZone_f80p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.684232422	
		4	0	SummerCere_RedZone_f70p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.488429595	
		4	0	SummerCere_RedZone_f60p	-	181	0	9.481598876	0	1	ARABLE	0	TRUE	300	TRUE	300	1	5.243941412	
	8	4	0	WinterRape_Default	-	347	0	9.124379703	0	1	ARABLE	0	TRUE	300	TRUE	300	1	3.5	
		4	0	WinterRape_Default_f90p	-	347	0	9.124379703	0	1	ARABLE	0	TRUE	300	TRUE	300	1	3.441523455	
		4	0	WinterRape_Default_f80p	-	347	0	9.124379703	0	1	ARABLE	0	TRUE	300	TRUE	300	1	3.319379496	
		4	0	WinterRape_Default_f70p	-	347	0	9.124379703	0	1	ARABLE	0	TRUE	300	TRUE	300	1	3.181559995	
