# NAME	LINKTYPE	VALUETYPE	FACTOR	min	max
plough	invest	nnCAP	1	0	2
tractor	invest	nnCAP	1	0	4
tractorSmall	invest	nnCAP	1	0	2
chiselPlough	invest	nnCAP	1	0	2
sowMachine	invest	nnCAP	1	0	2
directSowMachine	invest	nnCAP	1	0	0
seedBedCombi	invest	nnCAP	1	0	4
circHarrow	invest	nnCAP	1	0	0
springTineHarrow	invest	nnCAP	1	0	4
fingerHarrow	invest	nnCAP	1	0	0
combine	invest	nnCAP	1	0	0
cuttingUnitCere	invest	nnCAP	1	0	0
cuttingAddRape	invest	nnCAP	1	0	0
cuttingUnitMaiz	invest	nnCAP	1	0	0
rotaryHarrow	invest	nnCAP	1	0	0
mulcher	invest	nnCAP	1	0	1
potatoPlanter	invest	nnCAP	1	0	1
potatoLifter	invest	nnCAP	1	0	0
hoe	invest	nnCAP	1	0	0
ridger	invest	nnCAP	1	0	1
haulmCutter	invest	nnCAP	1	0	0
forkLiftTruck	invest	nnCAP	1	0	1
threeWayTippingTrailer	invest	nnCAP	1	0	0
Sprayer	invest	nnCAP	1	0	0
singleSeeder	invest	nnCAP	1	0	4
beetHarvester	invest	nnCAP	1	0	0
fertSpreaderSmall	invest	nnCAP	1	0	1
fertSpreaderLarge	invest	nnCAP	1	0	0
cornHeader	invest	nnCAP	1	0	0
mowerConditioner	invest	nnCAP	1	0	0
grasReseedingUnit	invest	nnCAP	1	0	0
rotaryTedder	invest	nnCAP	1	0	0
rake	invest	nnCAP	1	0	0
roller	invest	nnCAP	1	0	2
balePressHay	invest	nnCAP	1	0	0
manbarrel	invest	nnCAP	1	0	0
draghose	invest	nnCAP	1	0	0
injector	invest	nnCAP	1	0	0
trailingshoe	invest	nnCAP	1	0	0
solidManDist	invest	nnCAP	1	0	0
frontLoader	invest	nnCAP	1	0	0
siloBlockCutter	invest	nnCAP	1	0	0
shearGrab	invest	nnCAP	1	0	0
dungGrab	invest	nnCAP	1	0	0
fodderMixingVeh8	invest	nnCAP	1	0	0
fodderMixingVeh10	invest	nnCAP	1	0	0
fodderMixingVeh16	invest	nnCAP	1	0	0
potaStore500t	invest	nnCAP	1	0	0
bunkerSilo450	invest	nnCAP	1	0	0
bunkerSilo900	invest	nnCAP	1	0	0
bunkerSilo1620	invest	nnCAP	1	0	0
bunkerSilo2640	invest	nnCAP	1	0	0
bunkerSilo3630	invest	nnCAP	1	0	0
bunkerSilo4620	invest	nnCAP	1	0	0
bunkerSilo8580	invest	nnCAP	1	0	0
bunkerSilo11870	invest	nnCAP	1	0	0
bunkerSilo26550	invest	nnCAP	1	0	0
WinterWheatPrice	market	nnP	1	0	184.8
WinterRyePrice	market	nnP	1	0	176
SummerCerePrice	market	nnP	1	0	211.2
WinterRapePrice	market	nnP	1	0	407
SummerPeasPrice	market	nnP	1	0	261.82
SugarBeetPrice	market	nnP	1	0	41.8
WinterBarleyPrice	market	nnP	1	0	211.2
SummerTriticalePrice	market	nnP	1	0	220
MaizCornPrice	market	nnP	1	0	212.3
SummerBeansPrice	market	nnP	1	0	264
